entity,entity_type,chicago,cook_or_collar
Chicago,Municipal,True,False
Chicago Housing Authority,Municipal,True,False
Chicago Park District,Municipal,True,False
Chicago Public Schools,Municipal,True,False
Chicago Transit Authority,Municipal,True,False
City Colleges of Chicago,Municipal,True,False
Metropolitan Pier and Exposition Authority,Municipal,True,False
Public Building Commission,Municipal,True,False
Cook County,County,False,True
Cook County Forest Preserve,Forest Preserve,False,False
DuPage County,County,False,True
DuPage County Forest Preserve,Forest Preserve,False,False
Kane County,County,False,True
Kane County Forest Preserve,Forest Preserve,False,False
Lake County,County,False,True
Lake County Forest Preserve,Forest Preserve,False,False
McHenry County,County,False,True
McHenry County Conservation,Forest Preserve,False,False
Will County,County,False,True
Will County Forest Preserve,Forest Preserve,False,False
Barrington Township,Township,False,True
Berwyn Township,Township,False,True
Bloom Township,Township,False,True
Bremen Township,Township,False,True
Calumet Township,Township,False,True
Elk Grove Township,Township,False,True
Evanston Township,Township,False,True
Hanover Township,Township,False,True
Lemont Township,Township,False,True
Leyden Township,Township,False,True
Lyons Township,Township,False,True
Maine Township,Township,False,True
New Trier Township,Township,False,True
Niles Township,Township,False,True
Northfield Township,Township,False,True
Norwood Park Township,Township,False,True
Oak Park Township,Township,False,True
Orland Township,Township,False,True
Palatine Township,Township,False,True
Palos Township,Township,False,True
Proviso Township,Township,False,True
Rich Township,Township,False,True
River Forest Township,Township,False,True
Riverside Township,Township,False,True
Schaumburg Township,Township,False,True
Stickney Township,Township,False,True
Thornton Township,Township,False,True
Wheeling Township,Township,False,True
Worth Township,Township,False,True
Addison Township,Township,False,False
Alden Township,Township,False,False
Algonquin Township,Township,False,False
Antioch Township,Township,False,False
Aurora Township,Township,False,False
Avon Township,Township,False,False
Batavia Township,Township,False,False
Benton Township,Township,False,False
Big Rock Township,Township,False,False
Blackberry Township,Township,False,False
Bloomingdale Township,Township,False,False
Burlington Township,Township,False,False
Burton Township,Township,False,False
Campton Township,Township,False,False
Channahon Township,Township,False,False
Chemung Township,Township,False,False
Coral Township,Township,False,False
Crete Township,Township,False,False
Cuba Township,Township,False,False
Custer Township,Township,False,False
Dorr Township,Township,False,False
Downers Grove Township,Township,False,False
Dundee Township,Township,False,False
Dunham Township,Township,False,False
DuPage Township,Township,False,False
Ela Township,Township,False,False
Elgin Township,Township,False,False
Florence Township,Township,False,False
Frankfort Township,Township,False,False
Fremont Township,Township,False,False
Geneva Township,Township,False,False
Grafton Township,Township,False,False
Grant Township,Township,False,False
Green Garden Township,Township,False,False
Greenwood Township,Township,False,False
Hampshire Township,Township,False,False
Hartland Township,Township,False,False
Hebron Township,Township,False,False
Homer Township,Township,False,False
Jackson Township,Township,False,False
Joliet Township,Township,False,False
Kaneville Township,Township,False,False
Lake Villa Township,Township,False,False
Libertyville Township,Township,False,False
Lisle Township,Township,False,False
Lockport Township,Township,False,False
Manhattan Township,Township,False,False
Marengo Township,Township,False,False
McHenry Township,Township,False,False
Milton Township,Township,False,False
Monee Township,Township,False,False
Moraine Township,Township,False,False
Naperville Township,Township,False,False
New Lenox Township,Township,False,False
Newport Township,Township,False,False
Norwood Township,Township,False,False
Nunda Township,Township,False,False
Peotone Township,Township,False,False
Plainfield Township,Township,False,False
Reed Township,Township,False,False
Richmond Township,Township,False,False
Riley Township,Township,False,False
Seneca Township,Township,False,False
Shields Township,Township,False,False
St. Charles Township,Township,False,False
Sugar Grove Township,Township,False,False
Troy Township,Township,False,False
Vernon Township,Township,False,False
Warren Township,Township,False,False
Washington Township,Township,False,False
Wauconda Township,Township,False,False
Waukegan Township,Township,False,False
Wayne Township,Township,False,False
Wesley Township,Township,False,False
West Deerfield Township,Township,False,False
Wheatland Township,Township,False,False
Will Township,Township,False,False
Wilmington Township,Township,False,False
Wilton Township,Township,False,False
Winfield Township,Township,False,False
York Township,Township,False,False
Zion Township,Township,False,False
Addison,Municipal,False,False
Algonquin,Municipal,False,False
Alsip,Municipal,False,False
Alton,Municipal,False,False
Antioch,Municipal,False,False
Arlington Heights,Municipal,False,False
Aurora,Municipal,False,False
Bannockburn,Municipal,False,False
Barrington,Municipal,False,False
Barrington Hills,Municipal,False,False
Bartlett,Municipal,False,False
Batavia,Municipal,False,False
Beach Park,Municipal,False,False
Bedford Park,Municipal,False,False
Beecher,Municipal,False,False
Belleville,Municipal,False,False
Bellwood,Municipal,False,False
Bensenville,Municipal,False,False
Berkeley,Municipal,False,False
Berwyn,Municipal,False,False
Big Rock,Municipal,False,False
Bloomingdale,Municipal,False,False
Bloomington,Municipal,False,False
Blue Island,Municipal,False,False
Bolingbrook,Municipal,False,False
Bourbonnais,Municipal,False,False
Braidwood,Municipal,False,False
Bridgeview,Municipal,False,False
Broadview,Municipal,False,False
Brookfield,Municipal,False,False
Buffalo Grove,Municipal,False,False
Bull Valley,Municipal,False,False
Burbank,Municipal,False,False
Burlington,Municipal,False,False
Burnham,Municipal,False,False
Burr Ridge,Municipal,False,False
Calumet City,Municipal,False,False
Calumet Park,Municipal,False,False
Campton Hills,Municipal,False,False
Carbondale,Municipal,False,False
Carol Stream,Municipal,False,False
Carpentersville,Municipal,False,False
Cary,Municipal,False,False
Champaign,Municipal,False,False
Channahon,Municipal,False,False
Charleston,Municipal,False,False
Chicago Heights,Municipal,False,False
Chicago Ridge,Municipal,False,False
Cicero,Municipal,False,False
Clarendon Hills,Municipal,False,False
Coal City,Municipal,False,False
Country Club Hills,Municipal,False,False
Countryside,Municipal,False,False
