Employer,ID
Chicago Housing Authority,1
Chicago Park District,2
Chicago Public Schools,3
Chicago State University,4
Chicago Transit Authority,5
City Colleges Of Chicago,6
Alton,7
Aurora,8
Belleville,9
Berwyn,10
Bloomington,11
Bourbonnais,12
Carbondale,13
Champaign,14
Charleston,15
Chicago,16
Crystal Lake,17
Danville,18
Dekalb,19
Effingham,20
Elgin,21
Galena,22
Galesburg,23
Hoffman Estates,24
Jacksonville,25
Joliet,26
Kankakee,27
Lasalle,28
Macomb,29
Marion,30
Naperville,31
Ottawa,32
Peoria,33
Rockford,34
Skokie,35
Springfield,36
Urbana,37
Cook County,38
Cook County Forest Preserve,39
DuPage County,40
DuPage County Forest Preserve,41
Evanston,43
Governors State University,44
ISBE/All Elementary/High School Employees,45
Kane County,46
Kane County Forest Preserve,47
Lake County,48
Lake County Forest Preserve,49
McHenry County,50
McHenry County Conservation,51
METRA,52
Metropolitan Pier And Exposition Authority,53
Metropolitan Water Reclamation District,54
Oak Park,55
PACE Suburban Bus Service,56
Public Building Commission Of Chicago,57
Regional Transportation Authority,58
Schaumburg,59
Indiana,61
Missouri,62
Wisconsin,63
IBHE/All Higher Ed Employees,64
Cicero,65
Barrington Township,66
Berwyn Township,67
Bloom Township,68
Bremen Township,69
Calumet Township,70
Elk Grove Township,71
Hanover Township,73
Lemont Township,74
Leyden Township,75
Lyons Township,76
Maine Township,77
New Trier Township,78
Niles Township,79
Northfield Township,80
Norwood Park Township,81
Oak Park Township,82
Orland Township,83
Palatine Township,84
Palos Township,85
Proviso Township,86
Rich Township,87
River Forest Township,88
Riverside Township,89
Schaumburg Township,90
Stickney Township,91
Thornton Township,92
Waukegan,93
Wheeling Township,94
Worth Township,95
Arlington Heights,96
Orland Park,97
Tinley Park,98
Will County,99
Will County Forest Preserve,100
Adams County,101
Algonquin,102
Alsip,103
Antioch,104
Bannockburn,105
Barrington Hills,106
Barrington,107
Bartlett,108
Batavia,109
Bedford Park,110
Beecher,111
Bellwood,112
Bensenville,113
Berkeley,114
Big Rock,115
Bloomingdale,116
Blue Island,117
Bolingbrook,118
Bond County,119
Boone County,120
Braidwood,121
Bridgeview,122
Brookfield,123
Brown County,124
Buffalo Grove,125
Bull Valley,126
Bureau County,127
Burlington,128
Burnham,129
Burr Ridge,130
Calhoun County,131
Calumet Park,132
Campton Hills,133
Carol Stream,134
Carpentersville,135
Carroll County,136
Cary,137
Cass County,138
Champaign County,139
Channahon,140
Chicago Metropolitan Agency For Planning,141
Chicago Ridge,142
Christian County,143
Clarendon Hills,144
Clark County,145
Clay County,146
Coal City,147
Coles County,148
Country Club Hills,149
Countryside,150
Crawford County,151
Crest Hill,152
Crete,153
Cumberland County,154
Darien,155
Deer Park,156
Deerfield,157
Dekalb County,158
Dewitt County,159
Diamond,160
Dixmoor,161
Dolton,162
Douglas County,163
Downers Grove,164
East Dundee,165
Edgar County,166
Edwards County,167
Effingham County,168
Elburn,169
Elk Grove Village,171
Elmhurst,172
Elmwood Park,173
Elwood,174
Evergreen Park,175
Fairmont,176
Fayette County,177
Flossmoor,178
Ford County,179
Forest Park,180
Forest View,181
Fox Lake,182
Fox River Grove,183
Frankfort,184
Franklin County,185
Franklin Park,186
Fulton County,187
Gallatin County,188
Geneva,189
Gilberts,190
Glen Ellyn,191
Glencoe,192
Glendale Heights,193
Glenview,194
Glenwood,195
Godley,196
Golf,197
Grayslake,198
Grundy County,199
Hainesville,200
Hamilton County,201
Hampshire,202
Hancock County,203
Harvard,204
Harvey,205
Harwood Heights,206
Hawthorn Woods,207
Hazel Crest,208
Hebron,209
Henderson County,210
Henry County,211
Hickory Hills,212
Hillside,213
Hinsdale,214
Hodgkins,215
Holiday Hills,216
Hometown,217
Homewood,218
Huntley,219
Indian Head Park,220
Inverness,221
Iroquois County,222
Itasca,223
Jefferson County,224
Jersey County,225
Jo Daviess County,226
Johnsburg,227
Justice,228
Kaneville,229
Kankakee County,230
